"player_name","player_id","yellow_cards","red_cards","goals","assists","total_minutes_played","market_value_eur"
"Albert Gudmundsson",305947,304,0,437,247,120631,4e+06
"Albert Lottin",540659,0,0,0,0,390,5e+05
"Albert Meyong",17370,0,0,22,0,12606,5300000
"Albert Rafetraniaina",236783,56,0,0,0,13986,1e+06
"Albert Roussos",206430,91,0,0,13,21151,250000
"Albert Rusnák",43228,176,0,330,286,155320,3e+06
"Albert Sambi Lokonga",381967,195,0,45,75,100350,1.6e+07
"Albert Sharipov",304617,18,0,0,0,29016,5e+05
"Alberth Elis",281319,96,0,272,128,63472,6500000
"Alberto Almici",163542,0,0,0,0,2160,7e+05
"Alberto Aquilani",5957,560,0,196,28,183232,1.8e+07
"Alberto Botía",53077,1386,33,330,66,290862,6e+06
"Alberto Brignoli",146799,100,0,25,0,81350,1500000
"Alberto Bueno",45335,306,0,816,510,222054,7500000
"Alberto Carminati",397224,0,0,0,0,1800,75000
"Alberto Cerri",197751,154,0,198,44,63668,7500000
"Alberto Dossena",385394,0,0,0,0,1260,4e+05
"Alberto García",58497,32,0,0,0,74880,8e+05
"Alberto Gilardino",5878,140,0,448,112,112784,3e+07
"Alberto Grassi",197473,725,0,150,125,222950,7e+06
"Alberto Guitián",230895,19,0,0,0,5225,8e+05
"Alberto Lopo",7881,575,0,75,0,98825,4e+06
"Alberto Lora",57816,342,0,0,152,109326,3500000
"Alberto López",307805,0,0,0,0,585,250000
"Alberto Martín",210153,152,0,0,0,23104,8e+05
"Alberto Moreno",207917,810,0,243,405,389502,1.5e+07
"Alberto Paleari",163048,0,0,0,0,9130,1100000
"Alberto Paloschi",68306,320,0,960,256,309856,6e+06
"Alberto Pelagotti",56921,0,0,0,0,27540,6e+05
"Alberto Perea",99559,54,0,54,108,68499,1200000
"Alberto Pomini",82743,0,0,0,0,15174,1e+06
"Alberto Soro",487688,12,0,36,84,21132,3e+06
"Alberto de la Bella",73319,594,0,165,429,282216,5e+06
"Albian Ajeti",195906,66,0,220,110,51106,7e+06
"Albian Muzaqi",249644,0,0,0,0,207,150000
"Albin Ekdal",49275,1716,0,297,330,518331,5e+06
