"player_name","player_id","yellow_cards","red_cards","goals","assists","total_minutes_played"
"Adam Kwarasey",11757,22,0,0,0,12540
"Adam Lallana",43530,620,0,775,713,435209
"Adam Legzdins",43858,40,0,0,0,43200
"Adam Lewis",347481,0,0,0,0,180
"Adam Livingstone",443544,2,0,0,0,426
"Adam Mackinnon",780506,0,0,0,0,542
"Adam Maher",122421,1110,0,900,1080,550020
"Adam Marusic",239802,798,63,441,378,423045
"Adam Masina",286949,736,69,92,230,295182
"Adam Matthews",108878,42,0,14,112,43666
"Adam Matuszczyk",52830,0,0,0,0,16832
"Adam Montgomery",757272,16,0,0,8,4432
"Adam Morgan",175737,0,0,0,0,346
"Adam Nemec",55210,37,0,0,0,20572
"Adam Obert",568333,4,0,0,0,1812
"Adam Ounas",400485,323,38,399,266,130397
"Adam Reach",163530,0,0,0,0,1800
"Adam Rooney",37773,120,0,1080,240,171705
"Adam Sarota",109305,0,0,0,0,195
"Adam Smith",61841,640,20,100,260,246780
"Adam Stachowiak",35069,58,0,0,0,67860
"Adam Stahl",223920,0,0,0,13,6474
"Adam S<U+00F6>rensen",400537,0,0,0,0,781
"Adam Taggart",171721,0,0,0,0,6205
"Adam Tzanetopoulos",281919,340,0,68,0,140641
"Adam Webster",212847,247,0,133,19,137560
"Adam Zrelak",261155,96,0,72,48,26472
"Adam <U+00D6>rn Arnarson",198178,0,0,0,0,21405
"Adama Ba",197857,21,0,0,0,4704
"Adama Diakhaby",453594,140,20,120,60,48200
"Adama Diomande",93145,23,0,92,0,41239
"Adama Fofana",648579,0,0,0,0,1071
"Adama Fran<U+00E7>ois",91384,108,0,0,12,30396
"Adama Guira",95431,510,0,51,85,164288
"Adama Mbengue",230066,60,12,0,0,28008
"Adama Niane",253842,160,0,200,80,72740
"Adama Soumaoro",126673,812,84,112,84,370832
"Adama Tamboura",44423,54,0,0,0,32598
"Adama Traor<U+00E9>",70209,180,20,0,20,73280
"Adama Traor<U+00E9>",204103,275,0,325,600,299475
"Adama Traor<U+00E9>",262608,330,0,220,352,162294
"Adamo Coulibaly",53399,88,0,88,44,54076
"Adamo Nagalo",800976,25,0,5,0,7565
"Aday Ben<U+00ED>tez",132921,228,0,38,57,47310
"Ade Runsewe",48897,22,0,11,33,15378
"Adebayo Azeez",244220,10,0,4,2,3746
"Adel Taarabt",45287,1036,111,148,555,312946
"Adem B<U+00FC>y<U+00FC>k",54148,1961,74,1998,851,544418
"Adem Dogan",576035,0,0,0,0,84
"Adem G<U+00FC>ven",49385,0,0,0,0,810
"Adem Kocak",6994,363,0,0,132,144342
"Adem Ljajic",69374,1178,0,1862,1900,569088
"Adem Zorgane",592403,20,0,20,60,24090
"Ademola Lookman",406040,162,0,414,234,139068
"Aderinsola Habib Eseola",122361,144,0,32,16,22128
"Aderlan",101506,105,0,45,30,45405
"Aderllan Santos",159142,672,0,144,0,302496
"Adessoye Oyewole",59180,414,0,138,184,158470
"Adewale Oladoye",853239,0,0,4,0,564
"Adi Gotlieb",200248,0,0,0,0,3808
"Adi Mehremic",192897,210,0,42,63,55083
"Adil Aouchiche",569385,36,0,18,81,25803
"Adil Auassar",56381,1189,87,493,551,520637
"Adil Demirbag",354173,220,0,0,0,57460
"Adil Nabi",181554,39,0,117,65,41821
"Adil Rami",51118,1935,0,430,215,771205
"Adil Rhaili",262953,0,11,0,0,1111
"Adil Taoui",463617,0,0,0,0,184
"Adilson",52408,230,0,46,23,97428
"Adilson Goiano",148682,100,0,25,15,19540
"Adis Jahovic",98536,756,112,1680,280,339556
"Adlan Katsaev",51260,104,0,52,78,69212
"Adl<U+00E8>ne Gu<U+00E9>dioura",74768,144,0,24,96,50088
"Admir Bajrovic",222556,38,0,209,57,42161
"Admir Mehmedi",66058,544,0,1156,884,427856
"Adnan Aganovic",50806,224,56,56,84,84924
"Adnan Alisic",37912,0,0,0,0,2110
"Adnan Januzaj",177847,648,0,600,624,299760
"Adnan Maric",256652,0,0,0,0,96
"Adnan Secerovic",78497,260,0,0,20,59000
"Adnan Ugur",409515,45,0,9,0,13194
"Adnane Tighadouini",185570,162,0,504,72,128196
"Adolfo Gaich",608469,52,0,39,13,15912
"Adolphe Teikeu",105362,162,0,0,27,76707
"Adrian Beck",273669,0,0,0,26,3627
"Adrian Fein",379979,17,0,17,51,9622
"Adrian Grbic",167342,40,20,100,0,46840
"Adrian Kappenberger",503625,0,0,0,0,6240
"Adrian Mariappa",38145,576,0,32,32,284672
"Adrian Nilsen Pereira",507310,16,0,0,0,5656
"Adrian Petre",365769,90,0,270,72,54216
"Adrian Semper",317057,0,0,0,0,13020
"Adrian Stanilewicz",389078,0,0,0,0,50
"Adrian Stoian",96853,208,0,130,156,103376
"Adriano",34495,1008,0,252,684,429228
"Adriano Castanheira",243779,24,0,24,36,21804
"Adriano Facchini",103370,126,0,0,0,143493
"Adriano Russo",44281,30,0,15,0,15045
"Adrien Bongiovanni",338628,45,0,9,0,7362
"Adrien Hunou",203507,132,0,550,66,122012
"Adrien Lebeau",395674,0,0,0,0,60
"Adrien Rabiot",182913,1107,0,594,486,526095
"Adrien Regattin",126796,456,0,312,384,275472
"Adrien Silva",56810,2368,37,925,629,532615
"Adrien Tam<U+00E8>ze",157507,396,0,126,108,189576
"Adrien Thomasson",215977,800,40,760,660,372940
"Adrien Truffert",654539,56,0,32,56,30976
"Adrien Tr<U+00E9>bel",159622,980,28,280,644,371896
"Adri<U+00E0> Pedrosa",501418,210,0,75,90,72495
"Adri<U+00E1>n",71271,216,54,0,0,362178
"Adri<U+00E1>n Bernab<U+00E9>",466802,0,0,0,0,245
"Adri<U+00E1>n Butzke",596884,24,0,40,8,5688
"Adri<U+00E1>n Colombino",203716,60,0,0,0,22760
"Adri<U+00E1>n Colunga",57866,0,24,24,48,10824
"Adri<U+00E1>n Dalmau",288228,234,0,522,90,80928
"Adri<U+00E1>n Di<U+00E9>guez",355335,195,0,0,0,27030
"Adri<U+00E1>n Embarba",288318,540,0,351,486,237762
"Adri<U+00E1>n Gonz<U+00E1>lez",44073,936,36,648,108,317916
"Adri<U+00E1>n Guerrero",282724,12,0,0,0,1524
"Adri<U+00E1>n Gunino",76699,68,0,0,0,36142
"Adri<U+00E1>n Jusino",563095,20,0,0,0,3460
"Adri<U+00E1>n Lape<U+00F1>a",289267,0,0,0,0,2624
"Adri<U+00E1>n Lucero",55879,598,0,260,416,341016
"Adri<U+00E1>n L<U+00F3>pez",44966,147,0,0,0,14574
"Adri<U+00E1>n L<U+00F3>pez",45383,114,0,836,608,288800
"Adri<U+00E1>n Mar<U+00ED>n",295414,380,19,76,95,149188
"Adri<U+00E1>n Ortol<U+00E1>",142033,0,0,0,0,19440
"Adri<U+00E1>n Ramos",73782,264,0,825,330,149919
"Adri<U+00E1>n Riera",381206,84,0,108,132,45252
"Adri<U+00E1>n Sardinero",125870,42,0,105,42,39375
"Adri<U+00E1>n Sp<U+00F6>rle",440371,12,0,48,48,24696
"Adri<U+00E1>n Sz<U+0151>ke",404705,13,13,39,13,13845
"Adryan",174835,58,29,87,58,44138
"Afimico Pululu",410649,0,0,0,17,1479
"Afonso Figueiredo",237000,280,20,20,80,162420
"Afonso Sousa",375378,117,0,27,18,38385
"Afonso Taira",118317,420,20,20,40,130300
"Afriyie Acquah",145581,1624,0,348,232,366067
"Ager Aketxe",158057,69,0,23,23,26450
"Agil Etemadi",55756,0,0,0,0,10368
"Agim Zeka",342824,0,0,11,0,1760
"Agon Mehmeti",72687,0,0,0,0,1472
"Agron Rufati",460591,27,0,0,9,4599
"Aguibou Camara",543529,20,0,30,25,12960
"Agus Garc<U+00ED>a",18646,180,30,30,30,35340
"Agust<U+00ED>n Marches<U+00ED>n",54534,270,0,0,27,207576
"Agust<U+00ED>n Rogel",456535,91,0,0,0,29887
"Agust<U+00ED>n Vuletich",182991,57,0,38,0,8436
"Ahmad Benali",121402,225,25,200,100,117850
"Ahmad Mendes Moreira",332973,24,0,36,48,16248
"Ahmad Ngouyamsa",723416,8,0,0,0,1256
"Ahmed Daghim",558244,0,0,0,0,276
"Ahmed El Messaoudi",303939,720,0,360,288,285408
"Ahmed Elmohamady",66333,297,27,135,297,247941
"Ahmed Hassan",184816,624,0,1896,480,332328
"Ahmed Hassan",333271,14,0,14,0,3528
"Ahmed Hegazy",111524,150,0,60,0,111300
"Ahmed Ildiz",226169,90,0,54,72,67500
"Ahmed Isaiah",352840,0,0,0,0,1482
"Ahmed Januzi",59150,175,0,50,50,24125
"Ahmed Kantari",33447,138,0,23,0,63618
"Ahmed Kashi",73120,40,0,20,0,27120
"Ahmed Kutucu",452084,65,0,78,78,22893
"Ahmed Mostafa",469986,12,0,0,0,96
"Ahmed Musa",168337,279,0,1333,713,360530
"Ahmed Touba",325924,180,0,45,30,85020
"Ahmed Yasin",114791,0,0,22,44,21648
"Ahmed Yasser Rayan",518943,52,0,65,13,10829
"Ahmet Aras",44970,0,0,36,0,4554
"Ahmet Arslan",209686,0,0,0,0,22
"Ahmet Bahcivan",252091,0,0,0,0,2054
"Ahmet Calik",182395,529,46,115,69,263603
"Ahmet Can Arik",434282,0,0,0,0,4
"Ahmet Canbaz",288313,0,0,0,0,1968
"Ahmet Cebe",1896,325,25,0,25,84950
"Ahmet Dereli",183614,26,0,78,26,20254
"Ahmet Engin",193612,20,0,40,0,15880
"Ahmet G<U+00FC>lay",655898,0,0,0,0,3465
"Ahmet G<U+00FC>rleyen",397696,0,0,0,0,180
"Ahmet Ilhan <U+00D6>zek",157588,400,25,250,250,161050
"Ahmet Karadayi",435869,0,0,0,0,1580
"Ahmet Karademir",727085,0,0,0,0,240
"Ahmet Oguz",291758,1012,22,66,176,281314
"Ahmet Sahbaz",247645,0,0,0,0,837
"Ahmet Sahin",7215,0,0,0,0,136944
"Ahmet Taner Cukadar",387966,0,0,0,0,336
"Ahmetcan Kaplan",662131,0,0,0,10,8830
"Ahmethan K<U+00F6>se",251089,0,0,0,0,2880
"Aias Aosman",124673,182,0,156,182,57824
"Aidan Connolly",252233,22,0,11,99,12309
"Aidan Keena",401323,0,0,4,0,1492
"Aidan Nesbitt",244263,6,0,0,0,1932
"Aidan Wilson",297277,4,0,0,0,1080
"Aiden McGeady",21333,93,0,31,186,49073
"Aiden O'Neill",385918,18,0,0,0,4455
"Aidi Fulangxisi",218195,0,0,0,0,1496
"Aidy White",91347,36,0,0,18,17694
"Aihen Mu<U+00F1>oz",517842,195,0,13,26,76609
"Aimar Oroz",634131,0,0,0,0,100
"Aimar Sher",579294,0,0,0,0,1155
"Aimen Moueffek",484992,24,0,0,0,6948
"Ainsley Maitland-Niles",285845,221,0,68,136,169677
"Aitor Bu<U+00F1>uel",374081,54,0,0,0,24966
"Aitor Cantalapiedra",323740,112,0,256,288,78720
"Aitor Fern<U+00E1>ndez",58883,21,0,0,0,13440
"Aitor Fern<U+00E1>ndez",118997,100,25,0,0,233375
"Aitor Ruibal",378139,240,0,45,75,76530
"Ajdin Hasic",522851,0,0,20,0,2280
"Ajdin Hrustic",265625,340,0,153,85,97818
"Ajdin Mahmutovic",28436,24,0,0,0,5760
"Aji Alese",502065,0,0,0,0,270
"Akaki Gogia",92472,32,0,0,64,8800
"Akaki Khubutia",77640,23,0,0,0,6256
"Akeem Latifu",141329,26,0,0,0,7085
"Akhmed Alibekov",343175,0,0,13,0,3666
"Akim Zedadka",327863,65,0,0,39,43394
"Akin Alkan",252056,0,0,0,0,4725
"Akin Famewo",425713,8,0,0,0,5524
"Akinkunmi Amoo",666580,7,0,7,7,3199
"Akmal Bakhtiyarov",413688,0,0,0,0,1023
"Akram Afif",336646,105,0,15,45,21540
"Aksel Aktas",371147,22,0,0,22,7359
"Al Musrati",377641,465,0,105,90,123570
"Alaa Abbas",560958,0,0,5,0,550
"Alaaddin Okumus",216608,0,0,0,0,1648
"Alaattin <U+00D6>ner",820647,0,0,0,0,3
"Alaeddine Yahia",5451,364,52,104,0,158548
"Alain Baroja",147559,57,0,0,0,46170
"Alain Oyarzun",229812,17,0,0,0,2567
"Alain Traor<U+00E9>",43242,0,0,0,28,9800
"Alaixys Romao",40014,1984,62,279,248,482825
"Alan",14127,126,0,126,180,70416
"Alan",59154,11,0,0,0,1837
"Alan Aussi",247213,7,0,0,0,1260
"Alan Bagaev",192908,18,0,0,0,1620
"Alan Chochiev",104511,96,0,48,48,67584
"Alan Dzagoev",69683,918,0,1020,1122,440096
"Alan Empereur",169179,66,0,22,0,21428
"Alan Forrest",276764,45,0,81,36,37908
"Alan Gow",11378,0,0,0,5,2200
"Alan Henrique",138139,0,0,0,13,9360
"Alan Hutton",9619,532,0,28,56,151368
"Alan Kasaev",36212,189,0,270,270,138807
"Alan Lithgow",45299,70,0,56,28,52038
"Alan Mannus",62855,32,16,0,0,166352
"Alan Martin",37700,0,0,0,0,2970
"Alan Patrick",104505,630,30,480,750,244230
"Alan Power",60781,598,13,26,130,173654
"Alan Pulido",143045,0,0,182,78,36556
"Alan Ruiz",190442,247,0,152,95,43757
"Alan Schons",378866,168,0,12,12,34932
"Alanzinho",36478,18,0,18,36,12762
"Alassana Jatta",631704,0,0,0,0,3348
"Alassane Diallo",261912,8,0,0,0,920
"Alassane N'Diaye",123136,65,0,0,0,12116
"Alassane Ndao",569777,80,0,112,72,32288
"Alassane Plea",167329,960,0,2640,1470,586410
"Alassane Tamb<U+00E9>",111061,30,0,0,10,15090
"Alassane Tour<U+00E9>",77740,100,0,20,0,19040
"Alassane Traor<U+00E9>",336704,11,0,0,0,7062
"Alban Lafont",357117,399,0,0,0,450450
"Alban Meha",28252,216,0,189,135,112050
"Albano Bizzarri",7797,130,26,0,0,295620
"Alberk Koc",374882,0,0,0,14,7406
"Albert Adomah",83430,0,0,0,0,5148
"Albert Gr<U+00F6>nbaek",503866,42,0,30,42,19524
"Albert Gudmundsson",305947,304,0,437,247,120631
"Albert Lottin",540659,0,0,0,0,390
"Albert Meyong",17370,0,0,22,0,12606
"Albert Rafetraniaina",236783,56,0,0,0,13986
"Albert Roussos",206430,91,0,0,13,21151
"Albert Rusn<U+00E1>k",43228,176,0,330,286,155320
"Albert Sambi Lokonga",381967,195,0,45,75,100350
"Albert Sharipov",304617,18,0,0,0,29016
"Alberth Elis",281319,96,0,272,128,63472
"Alberto Almici",163542,0,0,0,0,2160
"Alberto Aquilani",5957,560,0,196,28,183232
"Alberto Bot<U+00ED>a",53077,1386,33,330,66,290862
"Alberto Brignoli",146799,100,0,25,0,81350
"Alberto Bueno",45335,306,0,816,510,222054
"Alberto Carminati",397224,0,0,0,0,1800
"Alberto Cerri",197751,154,0,198,44,63668
"Alberto Dossena",385394,0,0,0,0,1260
"Alberto Garc<U+00ED>a",58497,32,0,0,0,74880
"Alberto Gilardino",5878,140,0,448,112,112784
"Alberto Grassi",197473,725,0,150,125,222950
"Alberto Guiti<U+00E1>n",230895,19,0,0,0,5225
"Alberto Lopo",7881,575,0,75,0,98825
"Alberto Lora",57816,342,0,0,152,109326
"Alberto L<U+00F3>pez",307805,0,0,0,0,585
"Alberto Mart<U+00ED>n",210153,152,0,0,0,23104
"Alberto Moreno",207917,810,0,243,405,389502
"Alberto Paleari",163048,0,0,0,0,9130
"Alberto Paloschi",68306,320,0,960,256,309856
"Alberto Pelagotti",56921,0,0,0,0,27540
"Alberto Perea",99559,54,0,54,108,68499
"Alberto Pomini",82743,0,0,0,0,15174
"Alberto Soro",487688,12,0,36,84,21132
"Alberto de la Bella",73319,594,0,165,429,282216
"Albian Ajeti",195906,66,0,220,110,51106
"Albian Muzaqi",249644,0,0,0,0,207
"Albin Ekdal",49275,1716,0,297,330,518331
"Aldair",194603,64,0,0,32,25200
"Aldin El-Zubaidi",279614,1,0,0,0,390
"Aldo Adorno",112640,0,0,8,0,2296
"Aldo Angoula",57510,63,0,0,0,12306
"Aldo Kalulu",292822,42,0,63,21,17493
"Aldo One",254476,0,0,0,0,2700
"Aldom Deuro",648971,0,0,0,0,546
"Aleandro Rosi",34239,792,0,33,66,243705
"Alec Luyckx",285656,0,0,0,0,72
"Alec Van Hoorenbeeck",405892,18,0,0,9,9522
"Alef",261459,147,0,42,0,48552
"Aleix Febas",217144,80,0,32,48,31360
"Aleix Garc<U+00ED>a",261504,78,0,117,104,72176
"Aleix Vidal",88490,1040,0,364,806,334022
"Alejandro Arribas",137174,832,0,128,64,211840
"Alejandro Balde",636688,0,0,0,0,1863
"Alejandro Barbaro",178933,0,0,0,15,2055
"Alejandro Bedoya",111783,196,0,168,112,110208
"Alejandro Cantero",638235,18,0,0,27,8811
"Alejandro Catena",449796,220,0,40,40,77140
"Alejandro Chacopino",279094,0,0,0,0,3892
"Alejandro Dom<U+00ED>nguez",18958,330,0,957,561,170808
"Alejandro Faurl<U+00ED>n",88067,0,0,0,0,3450
"Alejandro Garnacho",811779,0,0,0,0,36
"Alejandro Gonz<U+00E1>lez",100497,104,0,0,0,23010
"Alejandro Grimaldo",193082,700,0,504,1344,546392
"Alejandro G<U+00E1>lvez",128488,720,24,96,24,208392
"Alejandro G<U+00F3>mez",504104,0,0,0,0,1800
"Alejandro Pozo",341272,60,0,15,60,67755
"Alejandro Pozuelo",188853,648,0,567,1161,308475
"Alejandro Rodr<U+00ED>guez",169533,75,0,175,25,23975
"Aleks Matsukatov",312895,17,0,0,0,3927
"Aleksa Terzi<U+0107>",404260,20,0,0,10,4570
"Aleksandar Bjelica",273004,560,0,120,80,124420
"Aleksandar Boljevic",227532,286,0,176,308,147642
"Aleksandar Cavric",189839,110,0,22,44,41646
"Aleksandar Damcevski",217918,20,0,0,0,18060
"Aleksandar Dragovic",59032,1480,37,222,185,559107
"Aleksandar Gojkovic",128320,76,19,0,0,39672
"Aleksandar Ignjovski",74295,340,0,0,102,132226
"Aleksandar Jovanovic",256567,140,0,0,0,127580
"Aleksandar Katai",139915,175,25,175,125,46325
"Aleksandar Kolarov",46156,1216,0,800,928,662976
"Aleksandar Kovacevic",94316,299,0,23,46,98831
"Aleksandar Miljkovic",78726,200,0,25,75,110475
"Aleksandar Mitrovi<U+0107>",51152,696,58,1276,493,303543
"Aleksandar Noskovic",85113,11,0,11,0,6380
"Aleksandar Palocevic",192740,66,0,22,44,34364
"Aleksandar Pantic",167093,437,23,0,46,154054
"Aleksandar Pesic",73457,224,28,644,336,150052
"Aleksandar Prijovic",61505,319,0,1653,290,175624
"Aleksandar Radovanovic",339501,80,16,0,32,48224
"Aleksandar Scekic",144334,180,0,36,18,43452
"Aleksandar Sedlar",237499,153,17,34,0,28815
"Aleksandar Stanisavljevic",60731,242,0,176,44,45892
