"book","price","author","rating","muadmu","descriptions"
"จันทราอัสดง 4 (เล่มจบ)","399.20 บาท","เถิงหลัวเหวยจือ","3 โหวต","นิยายแปล"," ความเจ็บปวดเมื่อครั้งหลีซูซูตอกตะปูดับวิญญาณลงบนหัวใจเขานั้นถานไถจิ้นยังจดจำได้อย่างแม่นยำ...นางก็คืออีกคนที่อยากให้เขาตายทว่าเมื่อมารฝันมาอยู่ตรงหน้า สิ่งที่เขาต้องการฝันถึงมากที่สุดก็ยังเป็นช่วงเวลาที่มีความสุขกับนางเขาและนางได้เริ่มเรียนรู้แล้วรักกันใหม่ โดยไม่มีสิ่งใดกั้นขวาง
น่าเสียดายก็แต่ว่ามันเป็นแค่ ‘ห้วงฝัน’ ต่อให้งดงามเพียงใดก็ต้องตื่นขึ้นมา วสันตฤดูย่อมหวนกลับมาในวันใดวันหนึ่ง ทว่าหลีซูซูกับถานไถจิ้นกลับเป็นอดีตที่สูญสลายตลอดกาล เขาและนาง มารและเซียน...หรือที่สุดแล้วจำต้องอัสดงไปพร้อมกับจันทรา"
"The Secret (ปกอ่อน)","196.00 บาท","รอนดา เบิร์น (Rhonda Byrne)","19 โหวต","จิตวิทยา การพัฒนาตัวเอง","ความรัก ควมศรัทธาในตัวเอง การเห็นคุณค่าในตัวเอง ซึ่งเป็นความคิดเชิงบวกจะดึงดูดสิ่งดีๆเข้ามาสู่ชีวิตคุณ ในทางตรงข้าม ความเศร้า ความน้อยเนื้อต่ำใจ การคิดถึงแต่อดีตที่เลวร้าย มันก็จะดึงดูดสิ่งร้ายเข้ามาในชีวิตคุณเช่นกัน The Secret มองเห็นศักยภาพในตัวคุณทุกคน ว่าจะสามารถเปลี่ยนแปลงชีวิตได้ เพียงคุณเข้าใจกฎแรงดึงดูด คุณพร้อมที่เปิดใจและก้าวไปข้างหน้ากับ “THE SECRET” ความลับสร้างชีวิตหรือยัง"
"คดีฆาตกรรมในคฤหาสน์แมวดำ","276.00 บาท","อายาสึจิ ยูกิโตะ (Yukito Ayatsuji)","23 โหวต","นิยายแปล","เรื่องราวแบ่งเป็น 2 เหตุการณ์
เหตุการณ์แรกคือเหตุการณ์ที่มีคนกลุ่มหนึ่งมาที่คฤหาสน์แมวดำ
เพื่อมาพักผ่อน แต่แล้วก็เกิดเหตุฆาตกรรมขึ้น โดยที่ยังจับตัว
คนร้ายไม่ได้ หลักฐานเดียวที่มีอยู่คือ สมุดบันทึกของคนดูแลบ้านหลังนี้
อีกเหตุการณ์หนึ่งคือ ชายชราคนเฝ้าคฤหาสน์แมวดำโดนไฟไหม้และ
สูญเสียความทรงจำไป ได้จดบันทึกเรื่องราวต่างๆ ไว้ในสมุดบันทึก
วันหนึ่งเขาได้ส่งสมุดบันทึกของตนเองไปให้กับนักสืบคนหนึ่ง เพื่อให้ช่วย
สืบเรื่องราวที่อาจมีเบาะแสเกี่ยวกับคดีฆาตกรรมที่เกิดขึ้นที่คฤหาสน์แมวดำ 
แล้วการสืบสวนเหตุฆาตกรรมในคฤหาสน์แมวดำก็เริ่มต้นขึ้น"
"เพราะเป็นวัยรุ่นจึงเจ็บปวด (ฉบับเปลี่ยนปก)","196.00 บาท","คิมรันโด","16 โหวต","วรรณกรรม",NA
"รวยมาตั้งแต่จิตใต้สำนึก","212.00 บาท","เคลลี ชเว","2 โหวต","จิตวิทยา การพัฒนาตัวเอง","จริงๆ แล้ว คนรวยที่แท้จริง.."
"ทุกคนมีจังหวะชีวิตเป็นของตัวเอง","204.00 บาท","วินนี่","0 โหวต","วรรณกรรม",NA
"ปรมาจารย์ลัทธิมาร นิยาย ตอนพิเศษ","176.00 บาท","โม่เซียงถงซิ่ว","44 โหวต","หนังสือวาย ยูริ","ปรมาจารย์ลัทธิมาร เรื่องย่อ ..หลังมรสุมผ่านพ้นโลกผู้บำเพ็ญเพียรก็คืนสู่ความสงบอีกครั้ง
ว่าแต่...ในยามสงบ ผู้บำเพ็ญเพียรเขาทำอะไรกัน
ล่ารัตติกาล?
ปราบภูตผีปีศาจ?
หรือว่าพาบรรดาอนุชนออกหาประสบการณ์?
หากใครอยากรู้ว่ายามสงบทั้งก่อนและหลังเหตุวุ่นวาย
เว่ยอู๋เซี่ยน กับหลานวั่งจี ใช้ชีวิตอย่างไร พลาดไม่ได้กับตอนพิเศษในเล่มนี้!"
"บ้านวิกลคนประหลาด","212.00 บาท","อุเก็ตสึ","13 โหวต","นิยายแปล","""ฉัน"" เป็นนักเขียนอิสระผู้เชี่ยวชาญเรื่องลี้ลับ ด้วยลักษณะงานทำให้
มีโอกาสฟังเรื่องราวประสบการณ์พิศวงอยู่บ่อยๆ โดยเฉพาะเรื่องราวที่
เกี่ยวข้องกับ ""บ้าน"" สิ่งปลูกสร้างที่มาพร้อมเรื่องเล่าลึกลับมีอยู่มากมาย
นับไม่ถ้วน แต่เรื่องราวของ ""บ้าน"" หลังที่ฉันเพิ่งได้ฟังและเข้าไปมีส่วน
เกี่ยวข้อง กลับไม่เหมือนเรื่องใดที่เคยได้ยินมา"
"แล้วเราจะเป็นตัวเองในแบบที่ดีขึ้น","228.00 บาท","คิดมาก","3 โหวต","วรรณกรรม","หากเรารู้แล้วว่า
ทุกเรื่องในชีวิตมีบทเรียน
แล้วเราเริ่มที่จะมองหา
และเติบโตจากทุกบทเรียนในชีวิต"
"วิธีเป็นคน 1% ที่ ""หาเงินเก่ง"" ที่สุด","180.00 บาท","เกรซ เฌอมาณย์ รัตนพงศ์ตระกูล","29 โหวต","จิตวิทยา การพัฒนาตัวเอง","""มีเงินเยอะ"" อาจเป็นเรื่องของโชค คุณอาจทำบางสิ่งประสบความสำเร็จและมีเงินมากมาย แต่เป็นคนรวยได้ไม่นาน แล้วเงินนั้นก็หมดไป แต่คุณมีความสามารถในการหาเงิน คุณจะรอดได้ในทุกสถานการณ์และถ้าคุณบริหารเงินเป็น คุณจะเป็น ""คนหาเงินเก่งที่รวย""!"
"Brian Tracy on The Power of Self-Confidence","200.00 บาท","Brian Tracy (ไบรอัน เทรซี่)","0 โหวต","บริหาร ธุรกิจ"," "
"พ่อรวยสอนลูก # 2 : เงินสี่ด้าน","256.00 บาท","Robert T. Kiyosaki","1 โหวต","บริหาร ธุรกิจ","เนื้อหาของหนังสือเล่มนี้กล่าวถึงความแตกต่างในเรื่องการทำงาน การหารายได้
และการบริหารเงินของคนในสี่ลักษณะอาชีพ ได้แก่ ลูกจ้าง คนทำธุรกิจส่วนตัว
เจ้าของกิจการ และนักลงทุน โดยเปรียบเทียบให้เห็นถึงเหตุผลที่ทำให้คนสี่กลุ่ม
นี้มีสถานะทางการงานและการเงินที่ต่างกัน พร้อมคำแนะนำและข้อชี้แนะว่าต้อง
ทำอย่างไรจึงจะมีอิสระภาพทางการเงิน! "
