"book","price","author","rating","muadmu","descriptions"
"ชุด คดีฆาดกรรมในคฤหาสน์หน้ากากมหัศจรรย์ เล่ม 1–2","467.50 บาท","อายาสึจิ ยูกิโตะ (Yukito Ayatsuji)","0 โหวต","นิยายแปล","ว่ากันว่าบนโลกใบนี้จะมีคนหน้าตาเหมือนเราอย่างน้อย 3 คน ชิชิยะ คาโดมิ ได้พบแล้วหนึ่งคน คือ ฮิยูกะ เคียวสุเกะ เมื่อปีค.ศ.1992 ในงานเลี้ยงของสำนักพิมพ์คิตันที่ตนสังกัดอยู่ แม้แต่บรรณาธิการ คาวามินามิ ทาคาอาคิยังตกใจ ฮิยูกะเป็นนักเขียนหน้าใหม่ออกผลงานเรื่องแรกเป็นแนวแฟนตาซีลึกลับ ชิชิยะเคยได้คุยพูดคุยแลกเปลี่ยนเกี่ยวกับผลงานของเขาและของตัวเอง ในปีถัดมาฮิยูกะได้ติดต่อมาหาชิชิยะให้มาพบตนที่บ้าน ไหว้วานอยากให้เขาปลอมตัวไปงานพบปะพูดคุยแห่งหนึ่งในโตเกียว เพราะตัวเองต้องรักษาอาการหูดับเฉียบพลัน ก่อนจะส่งบัตรเชิญให้ดู ผู้เชิญชื่อ คาเกยามะ อิสึชิ โดยปีนี้จัดงานขึ้นเป็นปีที่ 3 ผู้เข้าร่วมงานจะต้องมารวมตัวกันในคฤหาสน์แห่งหนึ่ง นอนค้างเป็นเวลา 2 วัน 1 คืนแล้วจะได้รับเงินรางวัล สองล้านเยน ฮิยูกะเสนอให้แบ่งรางวัลกันคนละครึ่ง ก่อนจะเล่าถึงสถานที่จัดงาน เป็นบ้านพักตากอากาศที่แปลกประหลาดอยู่ห่างไกลเพราะเจ้าของบ้านชอบสะสมหน้ากากหายาก ลักษณะตัวบ้านจึงออกมาเหมือนหน้ากาก ตามข้อมูลที่ได้มาสถาปนิกที่ออกแบบบ้านให้ คาเกยามะ โทอิจิ หรือพ่อของคาเกยามะ อิสึชิซึ่งเป็นเจ้าของบ้านในตอนนั้น ก็คือ นากามุระ เซจิ นั่นเอง"
"The Better Me Model ฮาวทู เกลา ชีวิตให้ดีกว่าเดิม","254.00 บาท","วรเกตุ ตั้งสืบกุล (ผิงผิง)","0 โหวต","จิตวิทยา การพัฒนาตัวเอง",NA
"ร้านขายเวลา (พิมพ์ครั้งที่ 4)","236.00 บาท","คิมซ็อนย็อง","118 โหวต","วรรณกรรม","เรื่องราวของ ""อนโจ"" ซึ่งเป็นตัวเอกของเรื่องเปิด ""ร้านขายเวลา"" ซึ่งเป็นคาเฟ่ทางอินเทอร์เน็ตโดยใช้ชื่อว่า ""โครนอส"" จากการที่ตัวเองสูญเสียพ่อไป และอยากทำความฝันของพ่อให้เป็นจริงซึ่งก็คือการช่วยเหลือคนอื่น อนโจจึงเปิดร้านขายเวลาขึ้นมาโดยตั้งเงื่อนไขไว้สี่ข้อคือ หนึ่งปฏิเสธสิ่งที่เกินความสามารถของตนเอง สองไม่ทำเรื่องที่ไม่ถูกต้อง สามเลือกเรื่องที่ช่วยปลอบประโลมลูกค้าได้แม้แต่น้อยก็ยังดี และสี่เหนือสิ่งอื่นใดคือเลือกงานที่ทาให้เวลากลายเป็นเงินได้จริง"
"มินนะ โนะ นิฮงโกะ เล่ม 2 (2 nd Edition/ฉบับ audio streaming)","239.20 บาท","3A CORPORATION","0 โหวต","หนังสือเตรียมสอบ แนวข้อสอบ","ตำราเรียนภาษาญี่ปุ่นระดับต้นที่ได้รับความนิยมและการยอมรับจากผู้เรียนภาษาญี่ปุ่นทั่วโลก ปรับปรุงเนื้อหาจาก ""มินนะ โนะ นิฮงโกะ ฉบับอักษรญี่ปุ่น"" ประกอบด้วยบทเรียน 12 บท ให้ผู้เรียนได้ศึกษาภาษาญี่ปุ่นระดับต้นอย่างเป็นระบบ พร้อมเสียงประกอบหนังสือสำหรับฝึกสนทนา และแบบฝึกหัดไวยากรณ์จำนวนมาก เพื่อการนำไปประยุกต์ใช้จริงได้อย่างมีประสิทธิภาพ"
"ฉันจะเป็นดอกไม้ของเธอเสมอ","180.00 บาท","อิสญะ x ReenP","6 โหวต","วรรณกรรม","ดอกไม้แต่ละชนิดมีวิธีการดูแลที่แตกต่างกัน ความสัมพันธ์ก็อาจเป็นแบบนั้น หวังว่าเธอจะค้นพบดอกไม้ที่ใช่ และเข้าใจวิธีการดูแลรักษามัน และหวังว่าเธอจะเป็นดอกไม้ที่ใครบางคนกำลังตามหาอยู่เช่นกัน"
"ตะลุยโจทย์ BASIC GRAMMAR","143.20 บาท","รศ.ดร.ศุภวัฒน์ พุกเจริญ","0 โหวต","หนังสือเตรียมสอบ แนวข้อสอบ"," เรียนรู้ไวยากรณ์พื้นฐาน ครบทุกประเด็น เพื่อเตรียมความพร้อมสู่ระดับที่สูงขึ้น ฝึกฝนแนวข้อสอบกว่า 1,200 ข้อทีไม่พลาดออกสอบ พร้อมเฉลยอย่างละเอียด ติวเข้มเพื่อทำเกรดที่โรงเรียน และเตรียมสอบทุกระดับชั้นอย่างมั่นใจเต็มร้อย สรุปทุกเคล็ดในเล่มเดียว"
"ยมลแห่งยมโลก 1 (Mg)","132.00 บาท","ฮิโรมุ อาราคาวะ","0 โหวต","การ์ตูน",NA
"ปรมาจารย์ลัทธิมาร นิยาย เล่ม 5","288.00 บาท","โม่เซียงถงซิ่ว","57 โหวต","หนังสือวาย ยูริ","นิยายแนว Boy's Love สำหรับผู้มีอายุ 18 ปีขึ้นไป เล่ม 5 ของหนังสือนิยายชื่อดัง ในที่สุดก็ดำเนินมาถึงบทสรุปแล้ว >>> ดุเดือด+ฟินกระจาย! ก่อนใคร"
"EMOTIONAL AGILITY เท่าทันอารมณ์ก็เข้าใจตนเอง (พิมพ์ครั้งที่2)","263.20 บาท","Susan David (ซูซาน เดวิด)","0 โหวต","จิตวิทยา การพัฒนาตัวเอง",NA
"คิดแล้วรวย (ปกใหม่)","200.00 บาท","นโปเลียน ฮิลล์ (Napoleon Hill)","3 โหวต","บริหาร ธุรกิจ","""คิดแล้วรวย"" เป็นผลงานเรื่องเยี่ยมของ ""นโปเลียน ฮิลล์"" ที่สร้างแรงจูงใจสู่ความสำเร็จและสร้างเศรษฐีมาแล้วหลายต่อหลายคน! ฮิลล์ใช้เวลากว่า 30 ปี ในการร่วมมือกับผู้ที่ประสบความสำเร็จอย่างสูงของสหรัฐอเมริกา เพื่อเรียนรู้ว่า ""ทำไมพวกเขาจึงประสบความสำเร็จ ในขณะที่คนอื่นล้มเหลว"" และมหาเศรษฐีผู้มีชื่อเสียงกว่า 500 คน ก็ได้เปิดเผยถึงเคล็ดลับที่พวกเขาใช้ เพื่อฉุดตัวเองจากความยากจน และสร้างสรรค์ความสำเร็จให้ตัวเองไว้ในหนังสือเล่มนี้
 
""คิดแล้วรวย"" เป็นยิ่งกว่าหนังสือเพื่อพัฒนาตนเอง เพราะได้มอบปรัชญาแห่งความสำเร็จให้แก่คุณ พร้อมทั้งสอนคุณให้รู้ถึงวิธีการที่จะสร้างสรรค์สำนึกแห่งความสำเร็จด้วยตัวคุณเอง และเป็นแผนที่นำทางคุณไปสู่ความสำเร็จ นอกจากนี้ ในเล่มยังได้สอดแทรกกรณีศึกษาของโลกธุรกิจในยุคปัจจุบัน เพื่อการนำไปประยุกต์ใช้ รวมถึงบอกเล่าเรื่องราวของประวัติศาสตร์ ศาสนา วิทยาศาสตร์ หลักจิตวิทยา และหลักการครองชีวิตที่ยังคงร่วมสมัย ซึ่งนำพาผู้คนไปสู่ความสำเร็จได้ตราบจนทุกวันนี้"
"ผอมทันที สุขภาพดี 100%","280.00 บาท","นพ.ธนณพัฒฒ์ นาตะสุต","0 โหวต","สุขภาพ ความงาม",NA
"สมองแห่งความสำเร็จของนักจัดระเบียบความคิด","236.00 บาท","พกจูฮวัน (BOK JOO HWAN)","2 โหวต","จิตวิทยา การพัฒนาตัวเอง","เครื่องมืออันทรงพลังของนักจัดระเบียบความคิดที่ทำให้คุณบรรลุเป้าหมายทุกอย่างของ
ชีวิตอย่างเป็นระบบและรวดเร็วที่สุด จากกูรูด้านการจัดการความคิดอันดับ 1 ของเกาหลี

เคล็ดลับ 40 ข้อที่พกจูฮวัน นักให้คำปรึกษาด้านการจัดการความคิดอันดับ 1 ของเกาหลีใต้
อยากแนะนำให้คุณรู้จัก หนังสือเล่มนี้จะพาคุณไปรู้จักกับเครื่องมือต่างๆ ที่ช่วยถ่ายทอดความ
คิดที่มีอยู่ในหัวออกมาให้มองเห็นได้ด้วยตาทำให้เราได้ตรวจสอบความคิดของตัวเองและนำ
ไปสู่การปฏิบัติจริงได้ง่ายขึ้น เช่น WLB, Mind Map, Mandala-Art, Logic Tree ฯลฯ โดย
กล่าวถึงที่มาและความสำคัญ ประโยชน์ ข้อดีข้อเสีย และวิธีการใช้เครื่องมือ ตลอดจนแนะนำ
เครื่องมือที่เหมาะสมกับเรื่องต่างๆ ได้แก่ การจัดการความคิด การจัดการเวลา การจัดการเป้า
หมาย และการจัดการปัญหา"
"มาเหนือเมฆ พลเอก ประยุทธ์ จันทร์โอชา","238.00 บาท","คำรณ ปราโมช ณ อยุธยา, บก.","1 โหวต","วรรณกรรม"," หนังสือ ""มาเหนือเมฆ พลเอก ประยุทธ์ จันทร์โอชา"" เล่มนี้ ได้เรียบเรียงความเป็นมาของ ""พล.อ.ประยุทธ์ จันทร์โอชา"" รวมทั้งสถานการณ์บ้านเมืองความจริงที่ไม่ได้ถูกบิดเบือน และผลงานส่วนหนึ่งในหลาย ๆ ด้าน ภายใต้การนำพาของท่าน ที่ทำเพื่อชาติ ศาสนา พระมหากษัตริย์ และประชาชนชาวไทยทุกคน"
"วิธีเปลี่ยน ความกลัวที่มีอยู่ในใจ เพื่อรับมือกับปัญหา และกล้าเปลี่ยนแปลงตนเอง","192.00 บาท","Susan Jeffers (ซูซาน เจฟเฟอร์)","1 โหวต","จิตวิทยา การพัฒนาตัวเอง","ความกลัวเป็นส่วนหนึ่งในชีวิตเราอยู่เสมอ ไม่ว่าจะอยู่ในรูปแบบใดก็ตาม เราต่างกลัวกันทุก
คน แต่ความกลัวก็ใช่ว่าจะคอยฉุดรั้งเรา จนไม่มีโอกาสใช้ชีวิตที่รุ่มรวยและงดงามได้เสมอไป
เราจะกำราบความกลัวลงได้ถ้าหมั่นนำเอาเครื่องมืออันทรงอานุภาพในหนังสือเล่มนี้มาใช้ "
"ปาฏิหาริย์ร้านชำของคุณนามิยะ โดย ฮิงาชิโนะ เคโงะ","236.00 บาท","ฮิงาชิโนะ เคโงะ (Keigo Higashino)","154 โหวต","นิยายแปล","ในนาทีนี้ หนังสือที่เป็นที่โจทย์ขานกันเล่มหนึ่ง คือ ""ปาฏิหาริย์ร้านชำของคุณนามิยะ"" ของผู้แต่งนิยายแนวสืบสวน ฮิงาชิโนะ เคโงะ นอกจากนี้ยังติดอันดับขายดีในร้านหนังสือนายอินทร์อยู่หลายสัปดาห์ และยังขายดีมาเรื่อยๆ ทางนายอินทร์จึงขอแนะนำเรื่องนี้ เนื่องจากมีการดำเนินเรื่องที่ไม่เหมือนใคร อ่านคำโปรยแล้วอาจจะดูธรรมดา แต่หนังสือปาฏิหารย์ร้านชำของคุณนามิยะ เล่มนี้นั้น ไม่ธรรมดาเลยทีเดียว ด้วยยอดขาย กว่า 12 ล้านเล่ม และถูกนำมาสร้างเป็นภาพยนตร์ ทั้งในญี่ปุ่น และจีนอีกด้วย"
"คุณอาเรียโต๊ะข้างๆ พูดรัสเซียหวานใส่ซะหัวใจจะวาย เล่ม 3 (LN)","244.00 บาท","ซันซันซัน","1 โหวต","นิยาย","คู่อาเรีย&มาซาจิกะชื่อเสียงโด่งดังพรวดพราดขึ้นมา
จากการคว้าชัยชนะในงานโต้วาที
และตัดสินใจมุ่งสู่การเลือกตั้งประธานนักเรียน
ด้วยความรู้สึกใหม่อีกครั้ง!"
"คุณอาเรียโต๊ะข้างๆ พูดรัสเซียหวานใส่ซะหัวใจจะวาย เล่ม 4 (LN)","244.00 บาท","ซันซันซัน","2 โหวต","นิยาย","หลังพิธีปิดภาคเรียน
มาซาจิกะกับคุณอาเรียก็เริ่มเรียกชื่อต้น
ขณะที่ต่างฝ่ายต่างเขินและทำตัวไม่ถูกนั้นเอง
การเข้าค่ายสภานักเรียนซึ่งมีโทยะเป็นเจ้าภาพก็เริ่มขึ้น!"
"เชอร์ล็อก โฮล์มส์ 1 ตอนแรงพยาบาท (ปกใหม่)","92.00 บาท","เซอร์อาเทอร์ โคแนน ดอยล์","4 โหวต","นิยายแปล",NA
"แค่โอบกอดตัวเองให้เป็น","220.00 บาท","คิดมาก","26 โหวต","วรรณกรรม","ความเรียงที่แสนอบอุ่นจากคิดมากที่มาพร้อมกับกำลังใจ พลังบวกที่นำ
เสนอในรูปแบบจดหมาย ผู้อ่านจะได้รับประสบการณ์เหมือนได้
อ่านจดหมายจากนักเขียน ที่เป็นทั้งผู้รับฟังและมอบคำแนะนำอย่างอบอุ่น"
"เธอจะไม่หลงทางบนถนนที่สร้างเอง","204.00 บาท","วิน นิมมานวรวุฒิ (โรแมนติกร้าย)","1 โหวต","วรรณกรรม","
หนังสือเล่มนี้ จะเล่าเนื้อหาเกี่ยวกับการหวังว่าสิ่งที่เธอพบเจอระหว่างทาง จะทำให้เธอเติบโตขึ้นในแบบที่ต้องการ หากวันไหนว่างๆ เล่าให้กันฟังบ้างนะ ว่าเส้นทางตอนนี้ของเธอเป็นอย่างไร มาหาคำตอบในเล่มนี้กันดีกว่า รีบสั่งซื้อเลย!"
"เรื่องที่แบกไว้เธอจะวางก็ได้นะ","148.00 บาท","Kii","71 โหวต","จิตวิทยา การพัฒนาตัวเอง","CHECKLIST"
"PRINCIPLES RAY DALIO","621.60 บาท","RAY DALIO","11 โหวต","จิตวิทยา การพัฒนาตัวเอง","ปี 1975 Ray Dalio ได้ก่อตั้ง “Bridgewater” จากอพาร์ตเมนต์สองห้องนอนของเขาในเมืองนิวยอร์ก และ 40 ปีให้หลัง Bridgewater ได้กลายเป็นบริษัทเอกชนที่มีความสำคัญที่สุดอันดับที่ 5 ในสหรัฐอเมริกา (Fortune) และทำเงินให้กับนักลงทุนได้มากกว่ากองทุนเฮดจ์ฟันด์อื่นใดในประวัติศาสตร์ (Bloomberg) ตลอดการผจญภัยของเขา Ray Dalio ได้ค้นพบหลักการต่างๆ ที่เขาเชื่อ และเหตุผลที่อยู่เบื้องหลังความสำเร็จของเขา จนในที่สุด เขาก็ได้ส่งต่อมันให้มาอยู่ในหนังสือเล่มนี้"
"หนังสือเล่มหนา กาลเวลา และผู้คน","188.00 บาท","มิซึโยะ คาคุตะ","2 โหวต","วรรณกรรม",NA
"สวดมนต์อย่างไร? ให้เจ้ากรรมนายเวรฯ พ.2","159.20 บาท","นิติกฤตย์ กิตติศรีวรนันท์","1 โหวต","ธรรมะ ศาสนา และปรัชญา",NA
"สวรรค์ประทานพร นิยาย เล่ม 4","361.00 บาท","โม่เซียงถงซิ่ว","8 โหวต","หนังสือวาย ยูริ","....""เซี่ยเหลียน"" สูงส่งเป็นถึงไท่จื่อ ผู้อุทิศตนช่วยเหลือปวงประชา
ด้วยวัยเพียงสิบเจ็ดปีก็บรรลุขึ้นสวรรค์เป็นที่จดจำไปทั่วหล้า
ทำการสิ่งใดล้วนเก่งกาจปราดเปรื่อง ผู้คนต่างกล่าวว่า
เขาเป็นลูกรักของสวรรค์ กระทั่งเกิดเหตุพลิกผัน ทำให้เขา
ถูกขับออกจากสวรรค์ถึงสองครั้ง เป็นเหตุให้พลังเวทถูกผนึก
ต้องลงมาอยู่ในโลกมนุษย์ ชีวิตตกต่ำกลายเป็นที่เย้ยหยัน
ไปทั่วทั้งสามภพ ไร้สาวก ไร้ธูปเทียน ไร้คนเซ่นไหว้บูชา
ถูกผู้คนลืมเลือน ต้องหาเลี้ยงชีพด้วยการเก็บขยะ
ถูกจดจำว่าเป็นเทพขยะและเทพโรคระบาด ใครต่างก็คิดว่า
เขาจะต้องตกต่ำไม่อาจฟื้นคืนสู่สวรรค์ ต้องเข้าสู่ทางสายมารเป็นแน่"
"มุมมองนักอ่านพระเจ้า เล่ม 13","233.75 บาท","sing N song","0 โหวต","นิยาย","*** ของแถม Standy มุมมองนักอ่านพระเจ้า หมด ***"
"เลี้ยงลูกอย่างไรให้ได้ EF","132.00 บาท","นพ.ประเสริฐ ผลิตผลการพิมพ์","10 โหวต","แม่และเด็ก","โลกทุกวันนี้หมุนไปเร็ว ด้วยข้อมูลข่าวสารใหม่ๆ ด้วยเครื่องมือสื่อสารใหม่ๆ ความรู้ทุกอย่างหาได้ง่ายแค่ปลายนิ้ว แล้วเราจะเลี้ยงลูกอย่างไรกันดี ให้เขาเติบโตขึ้นมาอย่างพร้อมเผชิญกับโลกที่เราเองก็ไม่ได้รู้จักดีนัก คุณพ่อคุณแม่อาจจะเคยได้ยินเรื่อง EF หรือ Executive Function มาบ้างจากสื่อโซเชียลเน็ตเวิร์คทั้งหลาย ว่ามันคือความสามารถของสมองและจิตใจที่จะควบคุมความคิด อารมณ์ และการกระทำเพื่อไปให้ถึงเป้าหมายได้ ซึ่งสิ่งนี้เองเป็นทักษะที่จำเป็นสำหรับชีวิตในศตวรรษที่ 21 ที่จะช่วยยึดเหนี่ยวเด็กๆ ของเราไว้ท่ามกลางความเชี่ยวกรากของโลกในวันข้างหน้า ส่วนที่ว่าเราจะ ""เลี้ยงลูกอย่างไรให้ได้ EF นั้น นายแพยท์ประเสริฐ ผลิตผลการพิมพ์ ได้รวบรวมองค์ความรู้จากวิชาชีพและการสั่งสมประสบการณ์ยาวนาน ถ่ายทอดออกมาได้ง่ายอย่างยิ่ง ทำได้แน่นอน ให้เราได้ทำความเข้าใจและลงมือทำทันที ใครที่เคยติดตามข้อเขียนเรื่อง EF และทักษะศตวรรษที่ 21 ที่คุณหมอเขียนไว้เป็นตอนๆ ในเพจเฟซบุ๊กของคุณหมอ แพรวเพื่อนเด็กได้รวบรวมมาไว้ให้อ่านในหนังสือเล่มนี้แล้ว"
"บ้านประหยัดอย่างมีสไตล์ Small House Small Budget","396.00 บาท","วรัปศร อัคนียุทธ","0 โหวต","บ้านและสวน",NA
"What Happened to You? แค่เข้าใจก็ไม่เจ็บแล้ว","316.00 บาท","BRUCE D. PERRY และ OPRAH WINFREY","1 โหวต","จิตวิทยา การพัฒนาตัวเอง",NA
"ปรมาจารย์ลัทธิมาร นิยาย เล่ม 1","296.00 บาท","โม่เซียงถงซิ่ว","122 โหวต","หนังสือวาย ยูริ","ปรมาจารย์อี๋หลิง เว่ยอู๋เซี่ยน สิ้นชีพ ณ เนินป่าช้า
ว่ากันว่ากายแหลกเหลว ไร้ร่างให้ดินกลบฝัง
ทว่าด้วยพฤติกรรมเลวทรามต่ำช้าที่ระบือไกล
ผู้คนจึงพากันยินดีที่เขามอดม้วย
และไม่ว่าใครก็คงคาดไม่ถึงว่า เวลาผ่านไปสิบกว่าปี
จะมีใครบางคนใช้อาคมต้องห้าม ยอมอุทิศร่างให้เขาฟื้นคืน!"
"ปรมาจารย์ลัทธิมาร นิยาย เล่ม 4","288.00 บาท","โม่เซียงถงซิ่ว","43 โหวต","หนังสือวาย ยูริ","ปรมาจารย์ลัทธิมาร เรื่องย่อ ...ปรมาจารย์อี๋หลิง ""เว่ยอู๋เซี่ยน"" สิ้นชีพ ณ เนินป่าช้า ว่ากันว่ากายแหลกเหลว ไร้ร่างให้ดินกลบฝัง แต่ด้วยพฤติกรรมเลวทรามต่ำช้าที่ระบือไกล ผู้คนจึงพากันยินดีที่เขามอดม้วย และไม่ว่าใครก็คงคาดไม่ถึงว่า เวลาผ่านไปสิบกว่าปี จะมีใครบางคนใช้อาคมต้องห้าม ยอมอุทิศร่างให้เขาฟื้นคืน!

ด้วยมีศัตรูอยู่ทุกหัวระแหง เว่ยอู๋เซี่ยนจำต้องปิดบังตัวตนสุดชีวิต แม้จะทำได้ยากเย็นเต็มที เมื่อต้องเผชิญหน้ากับภูตผีปีศาจร้ายกาจ และตระกูลเซียนที่เคยล้อมปราบ รวมถึงคู่รักคู่แค้นอย่าง ""หลานวั่งจี"" เพื่อสืบเรื่องศพแยกชิ้นส่วน เว่ยอู๋เซี่ยน กับ หลานวั่งจี จึงเดินทางตามทิศที่มือผีชี้นำ จนมาถึงเมืองซึ่งปกคลุมด้วยหมอกขาวลึกลับนามว่า ""เมืองอี้"" ณ ที่นั่น สิ่งที่รอต้อนรับพวกเขาอยู่ก็คือ ""ภัยร้ายที่คาดไม่ถึง"" พร้อมด้วยเรื่องราวโศกนาฏกรรมระหว่างวิญญาณเด็กสาว นักพรตผู้หายสาบสูญ และฆาตกรผู้ก่อคดีสังหารล้างตระกูล ทว่าสิ่งที่พวกเขาต้องรับมือหาได้มีเพียงอุปสรรคครั้งใหม่ไม่ เพราะยิ่งรวบรวมชิ้นส่วนศพได้มากเท่าไร อันตรายก็ยิ่งคืบคลานเข้ามาใกล้เท่านั้น!"
"อิคิไก THE LITTLE BOOK IKIGAI","220.00 บาท","Ken Mogi","2 โหวต","จิตวิทยา การพัฒนาตัวเอง","เรียนรู้อิคิไกในความหมายที่แท้จริง ผ่านมุมมองและความคิดของ
นักประสาทวิทยาศาสตร์ชาวญี่ปุ่น เคน โมงิ ผู้นำแนวคิดอิคิไกมา
วิเคราะห์และถ่ายทอดออกมาได้อย่างมีสีสัน ผ่านเรื่องราวหลากหลาย
ในประวัติศาสตร์อันยาวนานของญี่ปุ่น เรื่อยมาจนถึงวัฒนธรรมร่วมสมัย
ที่เราคุ้นเคย พร้อมกับกรณีศึกษาในวิถีชีวิต งานฝีมือ และไอเดียธุรกิจ
ที่น่าสนใจ เหมาะสำหรับคนหนุ่มสาวที่กำลังตั้งคำถามถึงการมีชีวิตที่ดี
และการงานที่มีความหมาย เพื่อเราจะได้ตื่นขึ้นทุกเช้าพร้อมกับความหวัง
และแรงพลัง ในการขับเคลื่อนชีวิตและสังคมไปในทางที่เราใฝ่ฝัน"
"อย่าลืมว่าเรามีวันนี้ได้แค่ครั้งเดียวเท่านั้น","220.00 บาท","คิมซังฮยอน","0 โหวต","วรรณกรรม",NA
"มุมมองนักอ่านพระเจ้า เล่ม 14","233.75 บาท","sing N song","0 โหวต","นิยาย","*** ของแถม Standy มุมมองนักอ่านพระเจ้า หมด ***"
